,repo,description,owner,version,wc_url,updated_at,stars,forks,screenshot_url,samplecode_url,supported_browsers,rating,comment,external,status
817,ami-import,"AMI JS Import for Polymer - no goodies, no bundles, nothing else. Just ami.js. (and three.js of course ;) )",NicolasRannou,0.0.14,,2016-12-14 13:18:59,2,0,,,,,,,
818,paper-dropdown-input,A paper-input that provides the user with input suggestions,Juravenator,2.4.1,,2017-06-26 14:08:52,12,5,,,,,,,
819,online-status-icon,Display current online staus,cluttered-components,v1.0.3,,2017-01-19 15:48:20,2,0,,,,,,,
820,fs-client,Polymer element that manages JavaScript SDK instances,fs-webcomponents,2.1.3,,2017-03-09 22:42:58,0,0,,,,,,,
821,lazy-load-behavior,lazy-load-behavior element,acordeonl,v1.0.0,,2016-11-18 05:01:25,0,0,,,,,,,
822,juicy-iframe,"custom element that lets you stamp inline or external HTML into an iframe. It also provides simple data binding, that works for native JS/HTML as well as for Polymer's dom-bind",Juicy,0.0.2,,2017-07-06 01:48:18,4,0,,,,,,,
823,juicy-element-boilerplate,Fork this repo if you want to start your own Web Component using VanillaJS,Juicy,v0.1.0,,2017-01-18 13:59:24,0,0,,,,,,,
824,star-rating,acordeonl star-rating component,acordeonl,v2.0.0,,2017-03-24 21:26:05,6,3,,,,,,,
825,juicy-display-router,A Custom Element to switch visible elements based on current window location,Juicy,1.0.0,,2016-05-24 15:40:05,0,0,,,,,,,
826,juicy-draggable,Custom element to make items draggable and droppable,Juicy,0.0.3,,2017-04-28 19:47:01,1,2,,,,,,,
827,juicy-redirect,Custom Element that redirects to a new URL when an attribute is changed,Juicy,0.4.2,,2016-03-31 11:59:59,0,1,,,,,,,
828,gdg-logo,Polymer element to generate the Google Developer Group logo,abdonrd,v0.4.2,,2017-05-07 04:20:03,9,5,,,,,,,
829,juicy-highlight,Custom Element that highlights a DOM element on screen using a SVG overlay and/or border,Juicy,1.2.0,,2016-12-29 10:44:37,1,0,,,,,,,
830,juicy-markdown-tabbededitor,"GitHub Flavored Markdown (GFM) editor with filedrop, paste functionality and a preview window",Juicy,0.0.2,,2017-06-14 12:48:38,4,2,,,,,,,
831,get-pagination,A bootstrap-like pagination component,roberttaraya,0.0.2,,2017-05-12 13:20:37,0,0,,,,,,,
